순위,이름,경기,타율,타석,타수,안타,2루타,3루타,홈런,타점,득점,사사구,삼진,출루율,장타율,도루
647,배정원(영문고),13,0.5,2,2,1,0,0,0,0,0,0,0,0.5,0.5,0
647,김미르(제물포고),16,0.5,3,2,1,0,0,0,0,1,0,0,0.5,0.5,0
647,박범진(경남고),30,0.5,8,8,4,0,0,0,3,3,0,1,0.5,0.5,0
647,김병휘(장충고),19,0.5,4,4,2,0,0,0,2,2,0,1,0.5,0.5,1
647,추종민(군산상고),24,0.5,3,2,1,0,0,0,0,1,1,1,0.667,0.5,0
647,박수빈(제물포고),16,0.5,2,2,1,0,0,0,0,0,0,1,0.5,0.5,0
647,최규민(동산고),24,0.5,6,4,2,0,0,0,4,0,2,0,0.667,0.5,0
647,양성근(강릉고),17,0.5,2,2,1,0,0,0,0,2,0,0,0.5,0.5,0
647,나민혁(청주고),14,0.5,2,2,1,0,0,0,0,0,0,0,0.5,0.5,0
647,김태준(안산공고),23,0.5,2,2,1,0,0,0,0,0,0,0,0.5,0.5,0
647,정재호(세광고),20,0.5,2,2,1,0,0,0,1,0,0,0,0.5,0.5,0
647,윤준호(경남고),30,0.5,2,2,1,0,0,0,0,1,0,0,0.5,0.5,0
647,김태환(신일고),22,0.5,2,2,1,0,0,0,1,0,0,0,0.5,0.5,0
647,양세윤(야탑고),23,0.5,2,2,1,0,0,0,1,0,0,1,0.5,0.5,1
647,조하선(포항제철고),21,0.5,5,4,2,0,0,0,0,0,1,1,0.6,0.5,0
647,노윤상(도개고),14,0.5,2,2,1,0,0,0,0,1,0,1,0.5,0.5,0
647,박세종(진흥고),20,0.5,6,4,2,0,0,0,0,1,1,1,0.6,0.5,0
673,주우재(동산고),24,0.455,14,11,5,1,0,0,1,1,3,2,0.571,0.545,0
674,문승빈(공주고),15,0.444,9,9,4,1,0,0,3,0,0,1,0.444,0.556,0
674,김경민(송탄제일고),18,0.444,12,9,4,1,0,0,0,3,2,2,0.545,0.556,0
674,손동은(북일고),16,0.444,13,9,4,0,0,0,5,2,2,2,0.5,0.444,0
677,강재윤(야탑고),23,0.429,16,14,6,0,1,0,2,4,2,2,0.5,0.571,3
677,김동규(신일고),22,0.429,8,7,3,1,0,0,3,1,1,1,0.5,0.571,0
677,천승준(배재고),18,0.429,9,7,3,1,0,0,1,1,2,2,0.556,0.571,0
677,최혜승(경주고),16,0.429,8,7,3,0,0,0,0,2,1,1,0.5,0.429,0
681,조현석(유신고),21,0.421,20,19,8,1,0,0,4,3,1,1,0.45,0.474,0
682,손시후(개성고),16,0.417,14,12,5,0,0,0,1,1,2,2,0.5,0.417,0
683,전유선(안산공고),23,0.407,29,27,11,1,1,0,8,5,2,3,0.448,0.519,0
684,김현수(장충고),19,0.4,12,10,4,1,0,1,5,3,2,1,0.5,0.8,0
684,채영준(유신고),21,0.4,22,15,6,2,1,0,1,8,6,1,0.571,0.667,2
684,김윤수(소래고),18,0.4,5,5,2,1,0,0,0,2,0,0,0.4,0.6,0
684,양경식(제물포고),16,0.4,6,5,2,1,0,0,2,2,1,1,0.5,0.6,0
684,김형민(배명고),23,0.4,11,10,4,2,0,0,1,1,1,1,0.455,0.6,0
684,양회찬(군산상고),24,0.4,13,10,4,1,0,0,3,2,3,2,0.538,0.5,1
684,윤재연(유신고),21,0.4,6,5,2,0,0,0,2,0,0,1,0.4,0.4,0
684,정민우(물금고),13,0.4,5,5,2,0,0,0,1,0,0,0,0.4,0.4,0
684,배영빈(서울고),31,0.4,5,5,2,0,0,0,2,1,0,0,0.4,0.4,0
684,이희우(군산상고),24,0.4,5,5,2,0,0,0,1,2,0,1,0.4,0.4,0
684,강병우(상우고),15,0.4,5,5,2,0,0,0,0,1,0,2,0.4,0.4,0
695,김민수(안산공고),23,0.394,44,33,13,0,0,0,7,7,9,4,0.524,0.394,3
696,이성준(배명고),23,0.389,22,18,7,3,0,0,1,8,3,4,0.476,0.556,1
697,이종섭(세광고),20,0.381,26,21,8,0,0,0,4,5,4,4,0.48,0.381,1
698,유찬희(소래고),18,0.379,37,29,11,2,1,1,4,11,8,1,0.514,0.621,8
699,윤혁준(군산상고),24,0.375,11,8,3,2,0,0,3,0,3,4,0.545,0.625,0
699,함창건(충암고),25,0.375,20,16,6,1,0,0,2,1,1,5,0.412,0.438,1
699,임경목(마산고),15,0.375,9,8,3,0,0,0,1,3,1,1,0.444,0.375,2
699,이건희(경북고),27,0.375,23,16,6,0,0,0,5,6,1,2,0.368,0.375,0
703,원대한(경기고),19,0.364,12,11,4,1,0,0,0,1,0,3,0.364,0.455,0
703,권민우(공주고),15,0.364,12,11,4,0,0,0,1,0,1,3,0.417,0.364,0
705,현원회(대구고),14,0.357,20,14,5,3,1,0,6,2,5,3,0.526,0.714,0
706,최희찬(신흥고),16,0.355,36,31,11,0,2,0,3,4,1,6,0.364,0.484,2
707,정태웅(신흥고),16,0.35,24,20,7,0,0,0,0,3,2,2,0.409,0.35,2
708,윤찬영(경동고),18,0.346,31,26,9,0,0,0,0,4,4,6,0.433,0.346,3
709,유지호(인상고),17,0.345,39,29,10,2,0,0,5,4,10,5,0.513,0.414,1
710,박상목(소래고),18,0.333,4,3,1,0,1,0,1,1,1,0,0.5,1,1
710,이원빈(부산고),15,0.333,4,3,1,1,0,0,1,0,0,1,0.25,0.667,0
710,한지운(광주제일고),20,0.333,3,3,1,1,0,0,2,0,0,1,0.333,0.667,0
710,백두산(개성고),16,0.333,17,15,5,3,0,0,4,3,2,2,0.412,0.533,2
710,신동수(개성고),16,0.333,7,6,2,1,0,0,0,2,1,2,0.429,0.5,0
710,최훈희(야탑고),23,0.333,8,6,2,1,0,0,1,2,2,3,0.5,0.5,1
710,김규원(물금고),13,0.333,7,6,2,1,0,0,2,1,0,1,0.333,0.5,0
710,김현민(경남고),30,0.333,64,54,18,4,0,1,14,13,9,12,0.422,0.463,2
710,정도웅(광주제일고),20,0.333,18,18,6,0,1,0,3,4,0,4,0.333,0.444,1
710,정재찬(충훈고),14,0.333,17,12,4,1,0,0,1,2,5,6,0.529,0.417,0
710,김주승(덕수고),30,0.333,61,48,16,0,1,0,4,6,10,11,0.448,0.375,6
710,김정인(신흥고),16,0.333,7,6,2,0,0,0,0,0,1,1,0.429,0.333,0
710,김민서(동산고),24,0.333,5,3,1,0,0,0,0,0,1,1,0.5,0.333,1
710,김민수(서울디자인고),17,0.333,5,3,1,0,0,0,0,1,2,0,0.6,0.333,0
710,김태우(인천고),20,0.333,29,21,7,0,0,0,4,3,6,5,0.481,0.333,4
710,성준한(충훈고),14,0.333,3,3,1,0,0,0,0,1,0,0,0.333,0.333,0
710,김세훈(인천고),20,0.333,8,6,2,0,0,0,1,1,2,1,0.5,0.333,1
